size,chunkSize,method,ticks,error?
100000000,100,SingleThreadMethod,406370958,
100000000,500,AtomicMethod,215534125,
100000000,500,AtomicMethodInefficient,1179176042,
100000000,500,BlockingMethod,220211209,
100000000,500,BlockingMethodInefficient,6515768166,
100000000,500,SingleThreadMethod,411033625,
100000000,1000,AtomicMethod,213683875,
100000000,1000,AtomicMethodInefficient,1195561833,
100000000,1000,BlockingMethod,217947750,
100000000,1000,BlockingMethodInefficient,7694125875,
100000000,1000,SingleThreadMethod,407646625,
100000000,10000,AtomicMethod,211549250,
100000000,10000,AtomicMethodInefficient,1213344167,
100000000,10000,BlockingMethod,216034209,
100000000,10000,BlockingMethodInefficient,6414362166,
100000000,10000,SingleThreadMethod,412027916,
100000000,100000,AtomicMethod,214355500,
100000000,100000,AtomicMethodInefficient,1219579208,
100000000,100000,BlockingMethod,215383792,
100000000,100000,BlockingMethodInefficient,7478867209,
100000000,100000,SingleThreadMethod,408299125,
100000000,1000000,AtomicMethod,218184458,
100000000,1000000,AtomicMethodInefficient,1183331584,
100000000,1000000,BlockingMethod,215431208,
100000000,1000000,BlockingMethodInefficient,6214103875,
100000000,1000000,SingleThreadMethod,412149166,
